,tx,ty,tz,PL,Zlayer,angle
113,0.000015,0.000062,-0.000029,66,18,1
114,0.000228,-0.000331,-0.000455,66,19,1
115,0.000000,0.000000,-0.000001,66,20,1
116,-0.000000,0.000000,0.000000,66,21,1
117,-0.000000,-0.000000,0.000000,66,22,1
118,0.000000,0.000000,-0.000000,66,23,1
119,-0.000000,-0.000000,0.000000,66,24,1
120,-0.000179,0.000586,0.000357,65,1,1
121,0.000123,-0.000172,-0.000245,65,2,1
122,0.000025,-0.000344,-0.000051,65,3,1
123,0.000018,-0.000171,-0.000036,65,4,1
124,0.000008,0.000149,-0.000017,65,5,1
125,0.000284,0.000137,-0.000568,65,6,1
126,-0.000026,0.000098,0.000051,65,7,1
127,0.000076,0.000259,-0.000151,65,8,1
128,-0.000040,0.000006,0.000079,65,9,1
129,0.000094,0.000136,-0.000188,65,10,1
130,-0.000044,0.000023,0.000089,65,11,1
131,-0.000223,-0.000434,0.000446,65,12,1
132,-0.000072,0.000238,0.000145,65,13,1
133,0.000178,-0.000044,-0.000355,65,14,1
134,-0.000058,-0.000398,0.000115,65,15,1
135,-0.000033,0.000114,0.000065,65,16,1
136,-0.000128,-0.000032,0.000256,65,17,1
137,0.000061,-0.000007,-0.000122,65,18,1
138,-0.000105,-0.000277,0.000211,65,19,1
139,0.000001,0.000000,-0.000001,65,20,1
140,-0.000000,-0.000000,0.000000,65,21,1
141,-0.000000,0.000000,0.000000,65,22,1
142,0.000000,0.000000,-0.000000,65,23,1
143,-0.000000,0.000000,0.000000,65,24,1
144,-0.000074,0.001278,0.000147,64,1,1
145,-0.000046,0.000729,0.000092,64,2,1
146,0.000055,0.000053,-0.000111,64,3,1
147,-0.000042,0.000248,0.000083,64,4,1
148,-0.000127,-0.000238,0.000254,64,5,1
149,-0.000029,0.000054,0.000058,64,6,1
150,-0.000043,0.000310,0.000086,64,7,1
151,-0.000050,0.000097,0.000100,64,8,1
152,-0.000052,0.000086,0.000105,64,9,1
153,0.000033,-0.000154,-0.000066,64,10,1
154,-0.000025,0.000061,0.000050,64,11,1
155,0.000114,-0.000019,-0.000229,64,12,1
156,-0.000044,-0.000106,0.000089,64,13,1
157,0.000116,-0.000002,-0.000233,64,14,1
158,-0.000128,0.000076,0.000257,64,15,1
159,-0.000205,-0.000362,0.000410,64,16,1
160,0.000050,-0.000132,-0.000099,64,17,1
161,-0.000094,-0.000203,0.000188,64,18,1
162,0.000110,-0.000764,-0.000219,64,19,1
163,0.000000,0.000000,-0.000001,64,20,1
164,-0.000000,-0.000000,0.000000,64,21,1
165,-0.000000,0.000000,0.000000,64,22,1
166,0.000000,0.000000,-0.000000,64,23,1
167,-0.000000,-0.000000,0.000000,64,24,1
168,-0.000276,0.000452,0.000551,63,1,1
169,0.000121,-0.000434,-0.000243,63,2,1
170,0.000087,0.000227,-0.000173,63,3,1
171,-0.000048,0.000397,0.000097,63,4,1
172,0.000046,0.000310,-0.000092,63,5,1
173,0.000025,0.000423,-0.000050,63,6,1
174,-0.000160,0.000171,0.000319,63,7,1
175,0.000170,0.000332,-0.000340,63,8,1
176,-0.000086,0.000283,0.000172,63,9,1
177,0.000036,0.000645,-0.000072,63,10,1
178,0.000202,0.000092,-0.000403,63,11,1
179,0.000046,0.000008,-0.000091,63,12,1
180,-0.000008,0.000309,0.000016,63,13,1
181,0.000040,0.000062,-0.000080,63,14,1
182,-0.000045,0.000131,0.000090,63,15,1
183,0.000134,0.000176,-0.000267,63,16,1
184,-0.000019,-0.000141,0.000039,63,17,1
185,0.000106,-0.000244,-0.000212,63,18,1
186,0.000088,-0.000317,-0.000175,63,19,1
187,0.000000,0.000001,-0.000000,63,20,1
188,-0.000000,-0.000000,0.000000,63,21,1
189,-0.000000,0.000000,0.000000,63,22,1
190,0.000000,0.000000,-0.000000,63,23,1
191,-0.000000,-0.000000,0.000000,63,24,1
192,-0.000083,0.002031,0.000167,62,1,1
193,-0.000131,-0.000241,0.000262,62,2,1
194,0.000033,0.000503,-0.000066,62,3,1
195,-0.000264,0.000291,0.000528,62,4,1
196,0.000155,0.000570,-0.000310,62,5,1
197,-0.000047,-0.000389,0.000094,62,6,1
198,0.000056,-0.000039,-0.000112,62,7,1
199,-0.000211,0.000344,0.000421,62,8,1
200,0.000014,-0.000154,-0.000029,62,9,1
201,-0.000011,-0.000271,0.000022,62,10,1
202,0.000157,-0.000548,-0.000314,62,11,1
203,0.000292,-0.000227,-0.000584,62,12,1
204,0.000112,-0.000259,-0.000224,62,13,1
205,-0.000093,0.000114,0.000187,62,14,1
206,-0.000162,-0.000437,0.000324,62,15,1
207,-0.000180,0.000267,0.000361,62,16,1
208,-0.000081,-0.000372,0.000162,62,17,1
209,0.000140,-0.000664,-0.000279,62,18,1
210,0.000155,-0.000220,-0.000311,62,19,1
211,-0.000000,0.000000,0.000000,62,20,1
212,-0.000000,0.000000,0.000000,62,21,1
213,0.000000,-0.000000,-0.000000,62,22,1
214,0.000000,0.000000,-0.000000,62,23,1
215,-0.000000,-0.000000,0.000000,62,24,1
216,0.000136,0.000152,-0.000271,61,1,1
217,0.000075,-0.000905,-0.000150,61,2,1
218,-0.000008,0.000323,0.000016,61,3,1
219,-0.000033,0.000230,0.000065,61,4,1
220,0.000058,0.000259,-0.000116,61,5,1
221,-0.000110,-0.000332,0.000220,61,6,1
222,0.000206,-0.000080,-0.000413,61,7,1
223,0.000048,0.000232,-0.000097,61,8,1
224,-0.000041,-0.000203,0.000081,61,9,1
225,0.000026,0.000041,-0.000052,61,10,1
226,-0.000088,0.000238,0.000176,61,11,1
227,0.000048,-0.000505,-0.000095,61,12,1
228,-0.000001,-0.000365,0.000002,61,13,1
229,0.000137,-0.000471,-0.000273,61,14,1
230,0.000002,-0.000072,-0.000004,61,15,1
231,0.000321,-0.000022,-0.000641,61,16,1
232,-0.000147,-0.000251,0.000293,61,17,1
233,0.000060,-0.000470,-0.000120,61,18,1
234,-0.000097,0.000275,0.000194,61,19,1
235,0.000000,-0.000001,-0.000000,61,20,1
236,-0.000000,0.000000,0.000000,61,21,1
237,-0.000000,0.000000,0.000000,61,22,1
238,0.000000,0.000000,-0.000000,61,23,1
239,-0.000000,0.000000,0.000000,61,24,1
240,0.000216,0.000496,-0.000431,60,1,1
241,0.000132,0.000124,-0.000263,60,2,1
242,0.000062,-0.000046,-0.000125,60,3,1
243,-0.000042,0.000481,0.000084,60,4,1
244,-0.000127,0.000546,0.000255,60,5,1
245,-0.000195,0.000930,0.000391,60,6,1
246,0.000097,-0.000092,-0.000193,60,7,1
247,-0.000259,-0.000039,0.000519,60,8,1
248,0.000038,-0.000066,-0.000076,60,9,1
249,-0.000102,-0.000045,0.000204,60,10,1
250,0.000126,0.000436,-0.000253,60,11,1
251,-0.000059,0.000636,0.000118,60,12,1
252,0.000071,0.000350,-0.000143,60,13,1
253,-0.000135,0.000032,0.000270,60,14,1
254,-0.000221,0.000124,0.000442,60,15,1
255,-0.000370,0.000293,0.000740,60,16,1
256,0.000108,0.000186,-0.000216,60,17,1
257,0.000247,-0.000168,-0.000494,60,18,1
258,0.000046,0.000433,-0.000093,60,19,1
259,0.000000,0.000000,-0.000000,60,20,1
