,tx,ty,tz,PL,angle
0,0.00018500000000000008,0.001298,-0.000372,1,1
0,0.000264,-0.0006949999999999998,-0.000529,2,1
0,0.00012399999999999995,-0.0009669999999999998,-0.0002489999999999999,3,1
0,0.00019499999999999997,0.002174,-0.000384,4,1
0,7.099999999999996e-05,-0.00011099999999999993,-0.00014400000000000008,5,1
0,-0.0007859999999999999,0.0008759999999999998,0.0015739999999999999,6,1
0,-0.0006289999999999999,-0.0022499999999999994,0.001259,7,1
0,-0.0006079999999999998,0.0006380000000000001,0.0012159999999999996,8,1
0,0.00015099999999999993,1.1000000000000071e-05,-0.0002949999999999999,9,1
0,-0.00038300000000000004,0.0012170000000000004,0.0007650000000000001,10,1
0,-0.000229,-0.0006020000000000002,0.00045299999999999984,11,1
0,-0.0005039999999999998,0.000619,0.001008,12,1
0,-0.001383,-0.005300999999999999,0.0027680000000000005,13,1
0,-0.0004289999999999999,0.00022499999999999942,0.0008520000000000001,14,1
0,4.300000000000007e-05,0.0013499999999999999,-8.200000000000015e-05,15,1
0,-0.0009789999999999998,7.300000000000028e-05,0.001962,16,1
0,0.0005509999999999998,0.0031370000000000005,-0.0011000000000000007,17,1
0,0.00035399999999999993,0.002195,-0.0007059999999999998,18,1
0,0.0005149999999999999,-0.0001079999999999998,-0.001032,19,1
0,-0.0008859999999999999,0.002272,0.0017720000000000001,20,1
0,0.0009759999999999997,-0.0011559999999999997,-0.0019519999999999997,21,1
0,0.0005819999999999999,0.0015149999999999999,-0.001163,22,1
0,0.0003939999999999998,-0.0014730000000000001,-0.0007899999999999993,23,1
0,-0.000893,-0.0002459999999999998,0.0017809999999999996,24,1
0,1.399999999999996e-05,0.0009369999999999998,-2.4999999999999632e-05,25,1
0,0.000362,-0.0016659999999999993,-0.0007200000000000006,26,1
0,0.0009780000000000004,0.0027959999999999994,-0.001954,27,1
0,-0.003789,-0.0019149999999999998,0.007573000000000001,28,1
0,4.2999999999999954e-05,-0.0030649999999999987,-8.699999999999977e-05,29,1
0,0.0026170000000000004,0.0027539999999999995,-0.005229999999999999,30,1
0,-0.0003660000000000001,0.004562999999999999,0.0007309999999999999,31,1
0,0.00079,0.004871999999999999,-0.0015819999999999999,32,1
0,-0.000869,0.0003360000000000003,0.001741,33,1
0,-0.0008089999999999998,0.00029999999999999987,0.0016199999999999997,34,1
0,-0.0007689999999999999,0.00297,0.0015320000000000004,35,1
0,-0.0014279999999999998,0.006311000000000001,0.002857,36,1
0,-4.0657581468206416e-19,-0.0056549999999999994,-1.99999999999994e-06,37,1
0,-0.0016129999999999999,-0.0007340000000000001,0.003224,38,1
0,-0.00011700000000000002,-0.000559,0.0002360000000000001,39,1
0,-0.0034289999999999993,0.00392,0.006861,40,1
0,0.0005259999999999998,-0.000694,-0.0010469999999999998,41,1
0,-0.002185,0.005932000000000001,0.004364000000000001,42,1
0,0.00026900000000000003,-0.0048000000000000004,-0.0005369999999999999,43,1
0,0.002828,-0.003493,-0.00565,44,1
0,-0.002,-0.000380999999999999,0.0039959999999999996,45,1
0,0.00013599999999999984,-0.0016569999999999998,-0.000273,46,1
0,-9.200000000000012e-05,0.001878999999999999,0.0001829999999999999,47,1
0,-0.0024890000000000008,0.008084999999999998,0.004978000000000002,48,1
0,0.001059,0.0021000000000000003,-0.0021219999999999998,49,1
0,0.0002230000000000001,0.004941000000000001,-0.00044600000000000065,50,1
0,-0.00029100000000000024,0.0023269999999999996,0.000575,51,1
0,-0.0013620000000000004,-0.0024330000000000007,0.002721,52,1
0,0.0026099999999999995,0.003077,-0.005221,53,1
0,-0.0022850000000000006,0.006444000000000001,0.004575,54,1
0,-0.0010819999999999998,0.00018399999999999984,0.002167,55,1
0,0.0017950000000000002,0.001392,-0.003588000000000001,56,1
0,-0.0014480000000000005,-0.004614999999999999,0.002896,57,1
0,-0.002823,0.015580000000000002,0.005643,58,1
0,0.005541,-0.005324999999999999,-0.011084000000000002,59,1
0,-0.0005060000000000004,0.007546000000000002,0.0010059999999999997,60,1
0,-0.0019880000000000006,0.009768999999999998,0.003974,61,1
0,-0.005325,-0.0035920000000000027,0.010648999999999999,62,1
0,0.0023690000000000004,-0.005454000000000002,-0.004740000000000001,63,1
0,-0.0026499999999999996,0.0047480000000000005,0.0053029999999999996,64,1
0,-0.0003680000000000003,0.0011229999999999996,0.0007380000000000006,65,1
0,-0.00036399999999999974,0.0016860000000000002,0.0007269999999999993,66,1
0,-0.0008990000000000004,0.0006150000000000005,0.0018,67,1
0,0.0008119999999999999,0.00013000000000000034,-0.0016300000000000004,68,1
0,-0.0006219999999999998,0.004569,0.001243999999999999,69,1
0,-0.0030679999999999995,0.007862000000000001,0.006139,70,1
0,-0.001104,0.000701,-0.0006529999999999999,1,2
0,-0.00023300000000000003,0.00022200000000000003,-0.0002769999999999999,2,2
0,0.00013499999999999992,0.00013100000000000004,-0.00033100000000000013,3,2
0,0.00015300000000000003,-0.000354,0.000576,4,2
0,-0.000725,-7.400000000000008e-05,0.000592,5,2
0,0.0005090000000000001,-0.0006799999999999999,0.0009789999999999998,6,2
0,-0.0016779999999999996,0.0005520000000000002,-1.299999999999999e-05,7,2
0,0.001043,-0.000114,-0.000432,8,2
0,-0.0013809999999999998,0.00013299999999999998,0.000601,9,2
0,0.0013540000000000004,-0.0014590000000000004,0.0019429999999999998,10,2
0,0.00021499999999999989,0.000882,-0.0018170000000000003,11,2
0,0.001871,-0.0001689999999999999,-0.0008360000000000002,12,2
0,0.005362,-0.001988,0.00046600000000000005,13,2
0,-0.0036230000000000004,0.00020499999999999997,0.0018539999999999997,14,2
0,-0.0025139999999999993,0.0018810000000000003,-0.0020280000000000003,15,2
0,-0.00010800000000000008,-0.00026700000000000004,0.0005759999999999999,16,2
0,-0.004222,0.000164,0.002299,17,2
