,tx,ty,tz,PL,Zlayer,angle
0,0.000085,-0.001531,0.000170,1,1,1
1,-0.000017,0.000557,-0.000035,1,2,1
2,-0.000201,-0.000436,-0.000403,1,3,1
3,-0.000035,0.000045,-0.000071,1,4,1
4,0.000005,0.000001,0.000009,1,5,1
5,0.000000,-0.000000,0.000000,1,6,1
6,-0.000000,0.000000,-0.000000,1,7,1
7,-0.000005,-0.000001,-0.000011,1,8,1
8,0.000043,-0.000416,0.000085,1,9,1
9,0.000002,0.000688,0.000005,1,10,1
10,-0.000059,-0.000432,-0.000118,1,11,1
11,0.000081,0.001947,0.000162,1,12,1
12,0.000000,0.000000,0.000001,1,13,1
13,-0.000000,0.000000,-0.000000,1,14,1
14,0.000000,0.000000,0.000000,1,15,1
15,-0.000000,-0.000000,-0.000001,1,16,1
16,-0.000093,-0.001812,-0.000185,2,1,1
17,-0.000130,0.000762,-0.000260,2,2,1
18,-0.000056,-0.000613,-0.000112,2,3,1
19,0.000096,0.000088,0.000192,2,4,1
20,0.000007,0.000004,0.000014,2,5,1
21,0.000000,0.000000,0.000000,2,6,1
22,-0.000000,0.000000,-0.000000,2,7,1
23,-0.000005,-0.000002,-0.000010,2,8,1
24,0.000031,-0.000515,0.000062,2,9,1
25,-0.000144,0.000430,-0.000288,2,10,1
26,0.000013,-0.000434,0.000027,2,11,1
27,-0.000007,0.001286,-0.000014,2,12,1
28,-0.000000,0.000002,-0.000000,2,13,1
29,-0.000000,0.000000,-0.000000,2,14,1
30,0.000000,0.000000,0.000000,2,15,1
31,-0.000000,-0.000000,-0.000000,2,16,1
32,-0.000038,-0.001483,-0.000076,3,1,1
33,-0.000160,0.000632,-0.000320,3,2,1
34,-0.000147,-0.000132,-0.000294,3,3,1
35,0.000237,-0.000039,0.000473,3,4,1
36,0.000006,-0.000001,0.000011,3,5,1
37,0.000000,0.000000,0.000000,3,6,1
38,-0.000000,0.000000,-0.000000,3,7,1
39,-0.000004,-0.000001,-0.000009,3,8,1
40,-0.000022,-0.000129,-0.000044,3,9,1
41,-0.000057,0.000079,-0.000115,3,10,1
42,-0.000010,-0.000433,-0.000019,3,11,1
43,0.000179,0.001524,0.000359,3,12,1
44,-0.000001,0.000002,-0.000002,3,13,1
45,-0.000000,-0.000000,-0.000000,3,14,1
46,0.000000,0.000000,0.000000,3,15,1
47,0.000000,-0.000002,0.000001,3,16,1
48,-0.000157,-0.001873,-0.000314,4,1,1
49,-0.000151,0.000679,-0.000301,4,2,1
50,-0.000050,-0.000615,-0.000101,4,3,1
51,0.000077,0.000247,0.000155,4,4,1
52,0.000006,-0.000003,0.000013,4,5,1
53,0.000000,0.000000,0.000000,4,6,1
54,-0.000000,0.000000,-0.000000,4,7,1
55,-0.000004,-0.000001,-0.000009,4,8,1
56,-0.000136,0.000122,-0.000271,4,9,1
57,0.000213,0.000523,0.000425,4,10,1
58,0.000049,-0.000625,0.000098,4,11,1
59,0.000111,0.001770,0.000222,4,12,1
60,-0.000001,0.000000,-0.000002,4,13,1
