A1,A2,A3,A4,B1,B2,B3,B4,Z
0.0013541800908186984,-2.757759395719521e-05,-1.7450134637273678e-05,6.760673312293255e-05,0.0003479351285526887,-2.2754742047683173e-05,-3.0435906661798284e-05,-2.8691765972798573e-06,1
0.0003267249084808846,-6.447307638473028e-05,-3.609009036734988e-05,-4.10143669878149e-05,-0.00017588371487852066,-2.0734729695959775e-05,-2.9746886443671866e-05,2.5361526999181944e-05,2
0.0004350120650906391,3.7214486059573087e-06,-0.00010876480153294011,6.523541840127113e-05,0.00012050907505507673,7.457269180313259e-05,7.058471535630996e-05,-1.8265139534732122e-05,3
0.0002657138487759966,5.0031827999901935e-05,0.0001220803488500614,-0.00010354859373148557,-0.00018794077793803159,-4.132650302455613e-05,3.2129607273393034e-05,6.358392107048594e-06,4
0.0002445072182829387,-6.884278348949929e-05,5.817071293198759e-06,3.5308189710748604e-05,-0.00015222604283569863,2.661594791729523e-07,8.821603397047153e-06,1.9507669291384953e-05,5
0.00017422538519961558,8.059340204970386e-06,-0.00012618356691632758,2.640195030750589e-05,-1.1885592662321028e-05,5.1060706808754926e-05,8.655352258735476e-05,-3.368629499953639e-06,6
0.0002608702901714294,1.9310265412068052e-05,1.84968552099453e-05,-1.0812013520784618e-05,0.00013685211730856358,-4.0935610334263435e-05,-3.5961842021206215e-05,-2.7607470280736864e-05,7
0.0003700535201326444,-2.4785455751026383e-05,-1.1519274808375157e-05,2.9284149318719667e-05,0.0002683308224897128,-5.5295657090874345e-05,7.088376673799102e-05,3.773185859514839e-05,8
-4.2063257906949425e-05,-6.742813826914056e-06,1.9292702382218122e-06,3.364895328081851e-06,4.363975529968503e-05,-2.2776988939788045e-06,-9.291622165000998e-06,5.550852592230436e-07,9
-1.879700315780047e-05,-5.878136463984778e-07,-5.231484367734037e-07,-6.858619234377518e-07,-9.262059473146965e-06,-1.1936535373059884e-07,-3.1513497665038614e-07,9.26978741350117e-07,10
-2.8970206538312043e-06,-5.264633002690589e-08,-3.480788236328075e-07,-3.270606411954881e-07,-5.17347088308434e-06,-2.9560651681028215e-07,-5.945018330480733e-07,3.0060873722866185e-07,11
-1.2885530968596213e-06,-1.74895694798712e-08,1.1040989272955686e-07,2.6210163498943593e-08,-5.0535372819384126e-06,-1.3745610704150772e-08,-2.596956317074266e-07,1.2900451340792149e-08,12
-3.1481995813733397e-07,-2.3816878409843292e-08,3.5317253804728306e-08,3.865433714565676e-09,-1.7202297389220224e-06,8.094695718717115e-09,-7.706754321452022e-08,1.289605924937054e-07,13
1.0798989188502581e-07,2.7134608808599498e-08,1.7003775137710377e-08,-6.8885495377761425e-09,1.641885650937787e-06,1.3746584643124294e-07,9.366045665866893e-08,-2.7109749907393456e-07,14
3.461553116567042e-07,1.1177269403252505e-07,1.796409618881459e-08,-8.508943018992153e-09,4.800320827581492e-06,3.6972575321160526e-08,1.2472014842257659e-07,-1.5627692359431642e-08,15
-2.2256181248553834e-06,-6.20866065871687e-07,8.83421456020204e-08,-3.0263873279685537e-07,-6.7146704611035e-05,-3.644328205304767e-07,-3.274988450078378e-07,2.6760488453682356e-07,16
