,tx,ty,tz,PL,angle
0,-9.799999999999996e-05,0.004765999999999999,0.00019700000000000005,1,1
0,0.0003849999999999999,0.002567,-0.0007670000000000001,2,1
0,0.00043499999999999995,-0.001379,-0.0008700000000000002,3,1
0,-0.000779,-0.0008670000000000001,0.0015570000000000002,4,1
0,0.0001119999999999999,0.00035099999999999997,-0.00022199999999999998,5,1
0,-4.4999999999999955e-05,-0.001104,8.699999999999981e-05,6,1
0,-0.00055,-0.001039,0.0011010000000000004,7,1
0,-0.00061,0.0002800000000000002,0.001218,8,1
0,-2.7999999999999976e-05,-0.0012590000000000001,5.699999999999992e-05,9,1
0,4.700000000000006e-05,0.000866,-9.100000000000015e-05,10,1
0,-0.000365,0.0009820000000000002,0.000724,11,1
0,0.00022500000000000016,0.0006770000000000001,-0.0004500000000000001,12,1
0,-0.000453,-0.002232,0.0009010000000000001,13,1
0,-4.800000000000008e-05,0.00039199999999999945,9.800000000000021e-05,14,1
0,-0.00030099999999999994,0.001516,0.0006029999999999998,15,1
0,-0.001143,-0.0012149999999999995,0.0022909999999999996,16,1
0,-0.0007779999999999999,-0.002424,0.0015580000000000001,17,1
0,-0.0007750000000000001,0.0006389999999999998,0.0015469999999999998,18,1
0,-0.00036,0.0014130000000000002,0.0007160000000000002,19,1
0,-0.0010640000000000003,0.0005780000000000001,0.002134,20,1
0,0.0003600000000000001,-0.002378,-0.0007229999999999999,21,1
0,-0.000392,0.0015029999999999998,0.000786,22,1
0,-0.0009469999999999999,-0.002047,0.0018899999999999998,23,1
0,-0.0015530000000000001,-0.0017129999999999995,0.003107,24,1
0,-0.0009989999999999999,0.0020480000000000003,0.0019879999999999997,25,1
0,-0.0007740000000000002,0.002338,0.001548,26,1
0,-0.00030400000000000007,0.0005519999999999998,0.0006080000000000003,27,1
0,-0.00013499999999999997,0.0007659999999999996,0.00026599999999999996,28,1
0,-0.002195,-0.0012580000000000004,0.004393,29,1
0,-0.0006730000000000001,0.002603,0.001346,30,1
0,-0.0005820000000000002,0.002985,0.0011610000000000001,31,1
0,-0.00010299999999999992,-0.00047800000000000034,0.00020600000000000018,32,1
0,0.000317,-5.6999999999999976e-05,-0.0006330000000000001,33,1
0,-6.000000000000037e-06,0.0005339999999999998,1.0999999999999942e-05,34,1
0,-0.0011099999999999999,-0.0015899999999999998,0.0022170000000000002,35,1
0,0.00040599999999999995,-0.0026140000000000004,-0.0008070000000000005,36,1
0,-0.0012309999999999999,-0.0018499999999999994,0.002458999999999999,37,1
