,tx,ty,tz,PL,angle
0,-0.004400999999999999,0.003945,-0.004784000000000001,29,2
0,0.0015049999999999998,-0.000523,6.39999999999996e-05,30,2
0,0.002137,-0.001475,0.0014829999999999995,31,2
0,-0.0033230000000000004,0.003345,-0.004307,32,2
0,0.0010429999999999999,-0.0007920000000000002,0.0008599999999999999,33,2
0,-0.0012869999999999997,0.0016690000000000001,-0.002382,34,2
0,-0.002305,0.0006940000000000002,0.00010500000000000011,35,2
0,0.002546,-0.001808,0.001861,36,2
0,-0.0036620000000000008,0.0018199999999999998,-0.0011999999999999997,37,2
0,0.002157,0.0008749999999999996,-0.0029980000000000002,38,2
0,-0.0003359999999999999,0.0016070000000000001,-0.0028510000000000002,39,2
0,-0.0006379999999999999,0.0003870000000000001,-0.000343,40,2
0,-0.004092000000000001,0.001729,-0.0007569999999999999,41,2
0,0.0012870000000000002,-0.0006520000000000002,0.00044799999999999983,42,2
0,-0.0014179999999999998,0.002216,-0.0033410000000000002,43,2
0,-0.0011690000000000001,0.000185,0.0003690000000000001,44,2
0,0.0019820000000000003,-0.000531,-0.00021400000000000038,45,2
0,-0.000727,-0.0001370000000000001,0.000717,46,2
0,5.800000000000016e-05,0.001278,-0.002462,47,2
0,0.0002439999999999997,0.0013849999999999995,-0.002786,48,2
0,0.0007570000000000003,0.0009150000000000002,-0.0022059999999999996,49,2
0,-8.999999999999894e-06,-0.00013999999999999985,0.0002730000000000002,50,2
0,-0.0007389999999999999,0.000504,-0.0004989999999999997,51,2
0,-0.001863,0.0012300000000000002,-0.0011919999999999997,52,2
0,-0.0004879999999999999,0.0005819999999999998,-0.0008040000000000002,53,2
0,-9.299999999999998e-05,0.0006419999999999999,-0.001164,54,2
0,0.0008200000000000001,0.000143,-0.0007800000000000003,55,2
0,-0.0015649999999999998,0.00016499999999999994,0.0006500000000000001,56,2
0,0.001215,-0.00012899999999999988,-0.000505,57,2
0,-0.00017099999999999982,0.001067,-0.00193,58,2
0,-0.0004720000000000001,4.999999999999989e-05,0.00019599999999999989,59,2
0,-0.0009589999999999999,0.0007180000000000002,-0.000773,60,2
0,0.0012729999999999998,-0.0003530000000000002,-0.00012099999999999999,61,2
0,-0.000786,-0.00019800000000000002,0.000863,62,2
0,-0.00040199999999999985,0.0007819999999999998,-0.001242,63,2
0,0.0006760000000000001,0.000355,-0.0010910000000000002,64,2
0,0.0008410000000000001,-0.00025900000000000017,-2.599999999999998e-05,65,2
